C:\EC-Lab Development Package\Examples\Python\channel 1 data for poster_trial_3_02_CA_C01.mpr
time/s	<I>/mA
2.058726097703766E+002	-3.566122651100159E-001
2.058826097701240E+002	-3.563373577594753E-001
2.058926097698713E+002	-3.560197854042055E-001
2.059026097696187E+002	-3.556345266103751E-001
2.059126097693661E+002	-3.553501856327053E-001
2.059226097691135E+002	-3.550659549236315E-001
2.059326097688609E+002	-3.547871696949005E-001
2.059426097686082E+002	-3.545714157819759E-001
2.059526097683556E+002	-3.543019419908529E-001
2.059626097681030E+002	-3.540976130962372E-001
2.059726097678504E+002	-3.538934075832367E-001
2.059826097675978E+002	-3.536684679985056E-001
2.059926097673451E+002	-3.535222882032407E-001
2.060026097670925E+002	-3.533029407262802E-001
2.060126097668399E+002	-3.531645166873933E-001
2.060226097665873E+002	-3.530049800872810E-001
2.060326097663346E+002	-3.528247034549725E-001
2.060426097660820E+002	-3.527112197875972E-001
2.060526097658294E+002	-3.525309139490140E-001
2.060626097655768E+002	-3.524310415983205E-001
2.060726097653242E+002	-3.522902178764342E-001
2.060826097650715E+002	-3.521496278047564E-001
2.060926097648189E+002	-3.520503818988807E-001
2.061026097645663E+002	-3.518870085477834E-001
2.061126097643137E+002	-3.517942851781850E-001
2.061226097640611E+002	-3.517018896341324E-001
2.061326097638084E+002	-3.515511429309846E-001
2.061426097635558E+002	-3.514943867921829E-001
2.061526097633032E+002	-3.513283693790437E-001
2.061626097630506E+002	-3.512541764974610E-001
2.061726097627979E+002	-3.511589032411582E-001
2.061826097625453E+002	-3.510377818346022E-001
2.061926097622927E+002	-3.509791105985647E-001
2.062026097620401E+002	-3.508314061164866E-001
2.062126097617875E+002	-3.507708323001861E-001
2.062226097615348E+002	-3.506742870807651E-001
2.062326097612822E+002	-3.505648499727254E-001
2.062426097610296E+002	-3.505160069465640E-001
2.062526097607770E+002	-3.503820437192928E-001
2.062626097605244E+002	-3.503279757499693E-001
2.062726097602717E+002	-3.502434903383271E-001
2.062826097600191E+002	-3.501320445537568E-001
2.062926097597665E+002	-3.500894165039066E-001
2.063026097595139E+002	-3.499500888586056E-001
2.063126097592613E+002	-3.498960196971894E-001
2.063226097590086E+002	-3.498329120874413E-001
2.063326097587560E+002	-3.497277039289486E-001
2.063426097585034E+002	-3.496957588195801E-001
2.063526097582508E+002	-3.495714688301086E-001
2.063626097579981E+002	-3.495191752910616E-001
2.063726097577455E+002	-3.494337922334676E-001
2.063826097574929E+002	-3.493379902839662E-001
2.063926097572403E+002	-3.493138295412064E-001
2.064026097569877E+002	-3.491953688859946E-001
2.064126097567350E+002	-3.491442340612414E-001
2.064226097564824E+002	-3.490718472003946E-001
2.064326097562298E+002	-3.489871132373814E-001
2.064426097559772E+002	-3.489499580860134E-001
2.064526097557246E+002	-3.488513380289087E-001
2.064626097554719E+002	-3.488025033473969E-001
2.064726097552193E+002	-3.487406700849534E-001
2.064826097549667E+002	-3.486521148681643E-001
2.064926097547141E+002	-3.486116605997092E-001
2.065026097544614E+002	-3.485082209110271E-001
2.065126097542088E+002	-3.484659892320634E-001
2.065226097539562E+002	-3.484051525592804E-001
2.065326097537036E+002	-3.483141809701920E-001
2.065426097534510E+002	-3.482907938957216E-001
2.065526097531983E+002	-3.481892430782318E-001
2.065626097529457E+002	-3.481532478332516E-001
2.065726097526931E+002	-3.480911767482766E-001
2.065826097524405E+002	-3.479948645830154E-001
2.065926097521879E+002	-3.479577082395560E-001
2.066026097519352E+002	-3.478755187988298E-001
2.066126097516826E+002	-3.478332585096364E-001
2.066226097514300E+002	-3.477710604667665E-001
2.066326097511774E+002	-3.476976406574250E-001
2.066426097509247E+002	-3.476696634292602E-001
2.066526097506721E+002	-3.475763911008851E-001
2.066626097504195E+002	-3.475426936149599E-001
2.066726097501669E+002	-3.474795949459093E-001
2.066826097499143E+002	-3.474013251066208E-001
2.066926097496616E+002	-3.473873293399823E-001
2.067026097494090E+002	-3.472939527034757E-001
2.067126097491564E+002	-3.472469907999045E-001
2.067226097489038E+002	-3.471948230266571E-001
2.067326097486512E+002	-3.471155929565430E-001
2.067426097483985E+002	-3.470948243141176E-001
2.067526097481459E+002	-3.470004248619079E-001
2.067626097478933E+002	-3.469683670997625E-001
2.067726097476407E+002	-3.469084316492097E-001
2.067826097473881E+002	-3.468461149930953E-001
2.067926097471354E+002	-3.468269032239917E-001
2.068026097468828E+002	-3.467371922731406E-001
2.068126097466302E+002	-3.466968590021136E-001
2.068226097463776E+002	-3.466424244642266E-001
2.068326097461249E+002	-3.465676146745693E-001
2.068426097458723E+002	-3.465430378913883E-001
2.068526097456197E+002	-3.464605975151072E-001
2.068626097453671E+002	-3.464098519086840E-001
2.068726097451145E+002	-3.463704019784928E-001
2.068826097448618E+002	-3.462962090969093E-001
2.068926097446092E+002	-3.462851518392576E-001
2.069026097443566E+002	-3.462011867761614E-001
2.069126097441040E+002	-3.461690080165862E-001
2.069226097438514E+002	-3.461192351579667E-001
2.069326097435987E+002	-3.460467249155048E-001
2.069426097433461E+002	-3.460216599702841E-001
2.069526097430935E+002	-3.459562581777575E-001
2.069626097428409E+002	-3.458960789442065E-001
2.069726097425882E+002	-3.458742111921316E-001
2.069826097423356E+002	-3.457766354084022E-001
2.069926097420830E+002	-3.457800620794300E-001
2.070026097418304E+002	-3.456939375400552E-001
2.070126097415778E+002	-3.456534773111344E-001
2.070226097413251E+002	-3.456170934438711E-001
2.070326097410725E+002	-3.455463266372689E-001
2.070426097408199E+002	-3.455203956365587E-001
2.070526097405673E+002	-3.454576504230498E-001
2.070626097403147E+002	-3.453997850418098E-001
2.070726097400620E+002	-3.453709012269979E-001
2.070826097398094E+002	-3.452853941917420E-001
2.070926097395568E+002	-3.452811896800996E-001
2.071026097393042E+002	-3.452113318443297E-001
2.071126097390516E+002	-3.451636320352556E-001
2.071226097387989E+002	-3.451426386833192E-001
2.071326097385463E+002	-3.450571542978289E-001
2.071426097382937E+002	-3.450562483072286E-001
2.071526097380411E+002	-3.449713903665542E-001
2.071626097377884E+002	-3.449324518442154E-001
2.071726097375358E+002	-3.448988711833962E-001
2.071826097372832E+002	-3.448303133249286E-001
2.071926097370306E+002	-3.448210227489481E-001
2.072026097367780E+002	-3.447332262992866E-001
2.072126097365253E+002	-3.447046023607254E-001
2.072226097362727E+002	-3.446621018648147E-001
2.072326097360201E+002	-3.445908588171012E-001
2.072426097357675E+002	-3.445833438634889E-001
2.072526097355149E+002	-3.445175701379775E-001
2.072626097352622E+002	-3.444719010591507E-001
2.072726097350096E+002	-3.444534343481065E-001
2.072826097347570E+002	-3.443628716468821E-001
2.072926097345044E+002	-3.443565016984942E-001
2.073026097342517E+002	-3.442882990837095E-001
2.073126097339991E+002	-3.442390751838680E-001
2.073226097337465E+002	-3.442170757055294E-001
2.073326097334939E+002	-3.441395896673205E-001
2.073426097332413E+002	-3.441320776939403E-001
2.073526097329886E+002	-3.440615785121919E-001
2.073626097327360E+002	-3.440215080976490E-001
2.073726097324834E+002	-3.439934003353118E-001
2.073826097322308E+002	-3.439253193140033E-001
2.073926097319782E+002	-3.439127361774448E-001
2.074026097317255E+002	-3.438423687219618E-001
2.074126097314729E+002	-3.438090229034421E-001
2.074226097312203E+002	-3.437743151187898E-001
2.074326097309677E+002	-3.436988675594330E-001
2.074426097307150E+002	-3.436963117122653E-001
2.074526097304624E+002	-3.436184579133990E-001
2.074626097302098E+002	-3.435886776447297E-001
2.074726097299572E+002	-3.435516488552093E-001
2.074826097297046E+002	-3.434772258996963E-001
2.074926097294519E+002	-3.434847247600556E-001
2.075026097291993E+002	-3.434110558032990E-001
2.075126097289467E+002	-3.433802646398547E-001
2.075226097286941E+002	-3.433474415540694E-001
2.075326097284415E+002	-3.432675504684450E-001
2.075426097281888E+002	-3.432781231403368E-001
2.075526097279362E+002	-3.432005059719085E-001
2.075626097276836E+002	-3.431600457429891E-001
2.075726097274310E+002	-3.431381535530091E-001
2.075826097271784E+002	-3.430564874410633E-001
2.075926097269257E+002	-3.430441319942474E-001
2.076026097266731E+002	-3.429704642295837E-001
2.076126097264205E+002	-3.429599219560622E-001
2.076226097261679E+002	-3.429314231872558E-001
2.076326097259152E+002	-3.428499883413316E-001
2.076426097256626E+002	-3.428630888462068E-001
2.076526097254100E+002	-3.427865028381349E-001
2.076626097251574E+002	-3.427362453937530E-001
2.076726097249048E+002	-3.427307766675955E-001
2.076826097246521E+002	-3.426410925388335E-001
2.076926097243995E+002	-3.426524120569229E-001
2.077026097241469E+002	-3.425741761922838E-001
2.077126097238943E+002	-3.425414782762530E-001
2.077226097236417E+002	-3.425259530544285E-001
2.077326097233890E+002	-3.424488466978080E-001
2.077426097231364E+002	-3.424361115694046E-001
2.077526097228838E+002	-3.423690682649614E-001
2.077626097226312E+002	-3.423436158895505E-001
2.077726097223785E+002	-3.423284769058235E-001
2.077826097221259E+002	-3.422547054290770E-001
2.077926097218733E+002	-3.422549277544027E-001
2.078026097216207E+002	-3.421717405319225E-001
2.078126097213681E+002	-3.421503698825834E-001
2.078226097211154E+002	-3.421176701784134E-001
2.078326097208628E+002	-3.420597767829898E-001
2.078426097206102E+002	-3.420588731765748E-001
2.078526097203576E+002	-3.419904351234440E-001
2.078626097201050E+002	-3.419574809074402E-001
2.078726097198523E+002	-3.419250375032430E-001
2.078826097195997E+002	-3.418681848049165E-001
2.078926097193471E+002	-3.418493276834488E-001
2.079026097190945E+002	-3.417942506074906E-001
2.079126097188419E+002	-3.417724859714513E-001
2.079226097185892E+002	-3.417355883121491E-001
2.079326097183366E+002	-3.416588741540911E-001
2.079426097180840E+002	-3.416599076986313E-001
2.079526097178314E+002	-3.415957719087601E-001
2.079626097175787E+002	-3.415643382072453E-001
2.079726097173261E+002	-3.415470600128181E-001
2.079826097170735E+002	-3.414798510074633E-001
2.079926097168209E+002	-3.414799869060516E-001
2.080026097165683E+002	-3.414184081554414E-001
2.080126097163156E+002	-3.413745218515398E-001
2.080226097160630E+002	-3.413696986436845E-001
2.080326097158104E+002	-3.412934732437130E-001
