C:\EC-Lab Development Package\Examples\Python\channel 2 data for poster_trial_3_03_PEIS_C02.mpr
freq/Hz, log spacing	log (|Z|/Ohm)
1.000037109375000E+005	3.178308275008386E+000
3.162114257812500E+004	3.384551292630382E+000
1.000222949218750E+004	3.527188508215454E+000
3.161011230468750E+003	3.593172666180997E+000
1.000320068359375E+003	3.606830207586088E+000
3.163158569335938E+002	3.609584014618868E+000
1.000320053100586E+002	3.613493979969503E+000
3.162955093383789E+001	3.616681676464927E+000
1.000320053100586E+001	3.621367294756281E+000
3.160396575927734E+000	3.628588468065264E+000
9.985300302505493E-001	3.646980829284029E+000
3.195296227931976E-001	3.690129471444304E+000
9.985300153493881E-002	3.740527292302565E+000
2.995590120553970E-002	3.503203304570978E+000
9.985300712287426E-003	3.289298391625965E+000
