C:\EC-Lab Development Package\Examples\Python\channel 2 data for poster_trial_3_01_PEIS_C02.mpr
freq/Hz, log spacing	log (|Z|/Ohm)
1.000037109375000E+005	3.188585040746628E+000
3.162114257812500E+004	3.391319055135405E+000
1.000222949218750E+004	3.544997226262130E+000
3.161011230468750E+003	3.598386394000960E+000
1.000320068359375E+003	3.607713028821999E+000
3.163158569335938E+002	3.615442973416191E+000
1.000320053100586E+002	3.614301810802435E+000
3.162955093383789E+001	3.613783566554168E+000
1.000320053100586E+001	3.616436023690204E+000
3.160396575927734E+000	3.630018663919550E+000
9.985300302505493E-001	3.644611855693812E+000
3.195296227931976E-001	3.673725888472515E+000
9.985300153493881E-002	3.685452281570918E+000
2.995590120553970E-002	3.661354139865705E+000
9.985300712287426E-003	3.653374401550289E+000
