C:\EC-Lab Development Package\Examples\Python\channel 3 data for poster_trial3_02_CA_C03.mpr
time/s	<I>/mA
2.060946097831038E+002	-1.942358165979385E-002
2.061046097828512E+002	-1.935852855443955E-002
2.061146097825986E+002	-1.930080011487006E-002
2.061246097823459E+002	-1.921912714838980E-002
2.061346097820933E+002	-1.916994325816632E-002
2.061446097818407E+002	-1.912877108901742E-002
2.061546097815881E+002	-1.907995559275150E-002
2.061646097813355E+002	-1.905681364238263E-002
2.061746097810828E+002	-1.900223810225726E-002
2.061846097808302E+002	-1.897587805986405E-002
2.061946097805776E+002	-1.896035287529230E-002
2.062046097803250E+002	-1.893532853573561E-002
2.062146097800724E+002	-1.892243511974812E-002
2.062246097798197E+002	-1.888871207833290E-002
2.062346097795671E+002	-1.887822184711696E-002
2.062446097793145E+002	-1.886666402220726E-002
2.062546097790619E+002	-1.883970726281406E-002
2.062646097788092E+002	-1.884521212428808E-002
2.062746097785566E+002	-1.881831943988799E-002
2.062846097783040E+002	-1.881202362477780E-002
2.062946097780514E+002	-1.880794249475001E-002
2.063046097777988E+002	-1.878516886383297E-002
2.063146097775461E+002	-1.878972187638282E-002
2.063246097772935E+002	-1.876437906175854E-002
2.063346097770409E+002	-1.876462094485759E-002
2.063446097767883E+002	-1.876613441854719E-002
2.063546097765357E+002	-1.874272391200066E-002
2.063646097762830E+002	-1.875451259315014E-002
2.063746097760304E+002	-1.873481616377831E-002
2.063846097757778E+002	-1.873903725296259E-002
2.063946097755252E+002	-1.873513355851172E-002
2.064046097752725E+002	-1.872073840349914E-002
2.064146097750199E+002	-1.873204350471497E-002
2.064246097747673E+002	-1.871344085782766E-002
2.064346097745147E+002	-1.871795359998943E-002
2.064446097742621E+002	-1.871797993779183E-002
2.064546097740094E+002	-1.869965579360727E-002
2.064646097737568E+002	-1.871429182589054E-002
2.064746097735042E+002	-1.869689643383027E-002
2.064846097732516E+002	-1.870412047952413E-002
2.064946097729990E+002	-1.871141795068979E-002
2.065046097727463E+002	-1.869343910366300E-002
2.065144097724988E+002	-1.871152058699910E-002
2.065448097717308E+002	-3.364747166633606E-001
2.065548097714782E+002	-3.351847392320639E-001
2.065648097712256E+002	-3.329667925834663E-001
2.065748097709729E+002	-3.310307240486146E-001
2.065848097707203E+002	-3.293379682302477E-001
2.065948097704677E+002	-3.278310126066213E-001
2.066048097702151E+002	-3.265043920278554E-001
2.066148097699624E+002	-3.253274101018908E-001
2.066248097697098E+002	-3.242361813783647E-001
2.066348097694572E+002	-3.232729804515837E-001
2.066448097692046E+002	-3.224280011653917E-001
2.066548097689520E+002	-3.216079741716387E-001
2.066648097686993E+002	-3.208752453327186E-001
2.066748097684467E+002	-3.201705020666124E-001
2.066848097681941E+002	-3.195381784439086E-001
2.066948097679415E+002	-3.189646333456040E-001
2.067048097676889E+002	-3.184119522571565E-001
2.067148097674362E+002	-3.179056048393250E-001
2.067248097671836E+002	-3.174105650186538E-001
2.067348097669310E+002	-3.169518148899078E-001
2.067448097666784E+002	-3.165246224403382E-001
2.067548097664258E+002	-3.161167722940448E-001
2.067648097661731E+002	-3.157469666004180E-001
2.067748097659205E+002	-3.153721910715106E-001
2.067848097656679E+002	-3.150289976596832E-001
2.067948097654153E+002	-3.146999210119248E-001
2.068048097651626E+002	-3.143528693914414E-001
2.068148097649100E+002	-3.140638828277589E-001
2.068248097646574E+002	-3.137672549486160E-001
2.068348097644048E+002	-3.134848684072500E-001
2.068448097641522E+002	-3.132329022884368E-001
2.068548097638995E+002	-3.129741907119752E-001
2.068648097636469E+002	-3.127296274900436E-001
2.068748097633943E+002	-3.124763679504394E-001
2.068848097631417E+002	-3.122473293542867E-001
2.068948097628891E+002	-3.120418101549154E-001
2.069048097626364E+002	-3.118210113048554E-001
2.069148097623838E+002	-3.116246676445016E-001
2.069248097621312E+002	-3.114029824733735E-001
2.069348097618786E+002	-3.112212711572647E-001
2.069448097616259E+002	-3.110376209020620E-001
2.069548097613733E+002	-3.108454680442809E-001
2.069648097611207E+002	-3.106689774990081E-001
2.069748097608681E+002	-3.104715973138810E-001
2.069848097606155E+002	-3.103190147876740E-001
2.069948097603628E+002	-3.101500314474106E-001
