C:\EC-Lab Development Package\Examples\Python\channel 3 data for poster_trial3_03_PEIS_C03.mpr
freq/Hz, log spacing	log (|Z|/Ohm)
1.000037109375000E+005	3.229411593798108E+000
3.162114257812500E+004	3.367928418264038E+000
1.000222949218750E+004	3.502039941868222E+000
3.161011230468750E+003	3.568622483671546E+000
1.000320068359375E+003	3.589784802746223E+000
3.163158569335938E+002	3.594689195137418E+000
1.000320053100586E+002	3.595974004055412E+000
3.162955093383789E+001	3.596981019019850E+000
1.000320053100586E+001	3.604544155213433E+000
3.160396575927734E+000	3.596401636311195E+000
9.985300302505493E-001	3.624519575985411E+000
3.195296227931976E-001	3.653732498082435E+000
9.985300153493881E-002	3.700316348767522E+000
2.995590120553970E-002	3.550955192528789E+000
9.985300712287426E-003	3.501216404107959E+000
