C:\EC-Lab Development Package\Examples\Python\channel 3 data for poster_trial3_03_PEIS_C03.mpr
freq/Hz, log spacing	Phase(Z)/deg
1.000037109375000E+005	-4.346541595458984E+001
3.162114257812500E+004	-2.786619377136230E+001
1.000222949218750E+004	-1.920756912231445E+001
3.161011230468750E+003	-8.051195144653320E+000
1.000320068359375E+003	-3.549021005630493E+000
3.163158569335938E+002	-1.368621349334717E+000
1.000320053100586E+002	-8.601906299591064E-001
3.162955093383789E+001	-6.225324869155884E-001
1.000320053100586E+001	-1.247658729553223E+000
3.160396575927734E+000	-2.182139635086060E+000
9.985300302505493E-001	-2.915826559066772E+000
3.195296227931976E-001	-4.258394241333008E+000
9.985300153493881E-002	-5.691835880279541E-001
2.995590120553970E-002	-1.044457530975342E+001
9.985300712287426E-003	-4.888318634033203E+001
