C:\EC-Lab Development Package\Examples\Python\channel 3 data for poster_trial3_01_PEIS_C03.mpr
freq/Hz, log spacing	log (|Z|/Ohm)
1.000037109375000E+005	3.225969251867171E+000
3.162114257812500E+004	3.371119384761719E+000
1.000222949218750E+004	3.496285703641961E+000
3.161011230468750E+003	3.562703162296054E+000
1.000320068359375E+003	3.590400576054430E+000
3.163158569335938E+002	3.594279492098094E+000
1.000320053100586E+002	3.595872649707075E+000
3.162955093383789E+001	3.597765143317075E+000
1.000320053100586E+001	3.599104500582945E+000
3.160396575927734E+000	3.609367703465156E+000
9.985300302505493E-001	3.625994871463181E+000
3.195296227931976E-001	3.648583162400499E+000
9.985300153493881E-002	3.679252270105633E+000
2.995590120553970E-002	3.728403047995124E+000
9.985300712287426E-003	3.622173178399626E+000
