C:\EC-Lab Development Package\Examples\Python\channel 3 data for poster_trial3_01_PEIS_C03.mpr
freq/Hz, log spacing	Phase(Z)/deg
1.000037109375000E+005	-4.421422576904297E+001
3.162114257812500E+004	-2.856704330444336E+001
1.000222949218750E+004	-2.099248504638672E+001
3.161011230468750E+003	-9.356075286865234E+000
1.000320068359375E+003	-3.400757074356079E+000
3.163158569335938E+002	-1.389633417129517E+000
1.000320053100586E+002	-7.819764018058777E-001
3.162955093383789E+001	-7.240444421768188E-001
1.000320053100586E+001	-1.359968304634094E+000
3.160396575927734E+000	-2.726309299468994E+000
9.985300302505493E-001	-3.517977714538574E+000
3.195296227931976E-001	-4.356520175933838E+000
9.985300153493881E-002	-3.497575998306274E+000
2.995590120553970E-002	-1.313957571983337E-001
9.985300712287426E-003	2.056137847900391E+001
