C:\EC-Lab Development Package\Examples\Python\channel 4 data for poster_trial_3_03_PEIS_C04.mpr
freq/Hz, log spacing	Phase(Z)/deg
1.000037109375000E+005	-4.100716018676758E+001
3.162114257812500E+004	-2.465515899658203E+001
1.000222949218750E+004	-1.487640476226807E+001
3.161011230468750E+003	-6.744405269622803E+000
1.000320068359375E+003	-2.395681142807007E+000
3.163158569335938E+002	-1.191811680793762E+000
1.000320053100586E+002	-7.124058008193970E-001
3.162955093383789E+001	-6.921474933624268E-001
1.000320053100586E+001	-1.149899959564209E+000
3.160396575927734E+000	-2.076169252395630E+000
9.985300302505493E-001	-2.597439050674438E+000
3.195296227931976E-001	-3.253451347351074E+000
9.985300153493881E-002	-1.496970891952515E+000
2.995590120553970E-002	-7.826254367828369E+000
9.985300712287426E-003	-2.340070533752441E+001
