C:\EC-Lab Development Package\Examples\Python\channel 4 data for poster_trial_3_01_PEIS_C04.mpr
freq/Hz, log spacing	Phase(Z)/deg
1.000037109375000E+005	-4.065777206420898E+001
3.162114257812500E+004	-2.412306213378906E+001
1.000222949218750E+004	-1.474730587005615E+001
3.161011230468750E+003	-7.302578926086426E+000
1.000320068359375E+003	-2.318115711212158E+000
3.163158569335938E+002	-1.130439043045044E+000
1.000320053100586E+002	-6.033635139465332E-001
3.162955093383789E+001	-4.697479605674744E-001
1.000320053100586E+001	-9.154946804046631E-001
3.160396575927734E+000	-1.681037187576294E+000
9.985300302505493E-001	-2.509483098983765E+000
3.195296227931976E-001	-2.644621849060059E+000
9.985300153493881E-002	-1.985173940658569E+000
2.995590120553970E-002	2.656409025192261E+000
9.985300712287426E-003	1.320353794097900E+001
